model,average_latency,std_latency,average_wer,std_wer
Faster Whisper Base,1.5168679356575012,0.3742685661096158,0.3416795906377349,0.18982433221992875
Faster Whisper Tiny,0.9925814032554626,0.3421600308727345,0.36106649539963964,0.19769176437718736
Transcription Statistics,,,,
Whisper Base,1.4713488578796388,0.3796037009244913,0.3416795906377349,0.18982433221992875
Whisper Small,4.644546449184418,1.9715205566440224,0.3752977830296342,0.22362276261708483
Whisper Tiny,1.1313919425010681,1.6962396299766338,0.36106649539963964,0.19769176437718736
